id,x,y,size,frame,track,ignore,track_fixed
1,391.7055095075573,523.2462213554363,2051,1,1,TRUE,1
2,537.1151832460733,429.979057591623,4584,1,2,TRUE,2
3,599.2548492987167,365.3837660399881,3351,1,3,FALSE,4
4,611.1059405940595,293.3299504950495,4040,1,4,TRUE,4
5,263.7710843373494,294.8330464716007,581,1,5,TRUE,5
1,392.99224430441103,522.6107610276297,2063,2,1,TRUE,1
2,535.6258205689278,430.0656455142232,4570,2,2,TRUE,2
3,602.2563413906297,368.1330945986273,3351,2,3,FALSE,4
4,623.2589749938104,291.3996038623422,4039,2,4,TRUE,4
5,276.6546391752577,296.8780068728522,582,2,5,TRUE,5
1,394.098789346247,522.4484261501211,2065,3,1,TRUE,1
2,534.2199260387209,429.6939308244507,4597,3,2,TRUE,2
3,604.9711738484398,370.5289747399703,3365,3,3,FALSE,4
4,282.2935153583618,309.0136518771331,586,3,5,TRUE,5
5,634.2999752903385,286.64986409686185,4047,3,4,TRUE,4
1,395.51734104046244,520.9783236994219,2076,4,1,TRUE,1
2,533.0808998485832,428.68397144711224,4623,4,2,TRUE,2
3,608.1518837140314,372.44526846633045,3371,4,3,FALSE,4
4,276.1333333333333,320.8888888888889,585,4,5,TRUE,5
5,643.4664852832055,278.77417759089786,4043,4,4,TRUE,4
1,396.5990361445783,519.1281927710843,2075,5,1,TRUE,1
2,532.8779158491388,427.407455853499,4587,5,2,TRUE,2
3,612.2861400894187,374.5144560357675,3355,5,3,FALSE,4
4,263.1864406779661,322.9491525423729,590,5,5,TRUE,5
5,649.4316670770746,268.3710908643191,4061,5,4,TRUE,4
1,397.6459747817653,517.1998060135791,2062,6,1,TRUE,1
2,531.9459105779716,425.8538713195202,4585,6,2,TRUE,2
3,616.4770286396181,377.18198090692124,3352,6,3,FALSE,4
4,253.31606217616581,313.98791018998276,579,6,5,TRUE,5
5,651.2541368239072,257.5295134601136,4049,6,4,TRUE,4
1,397.98107714701604,516.8457059679768,2061,7,1,TRUE,1
2,533.2959444647424,448.27877237851663,2737,7,2,TRUE,2
3,620.0323154461903,380.8295286095464,3373,7,3,FALSE,4
4,527.4216867469879,387.10295728368015,1826,7,6,TRUE,6
5,255.1518771331058,300.6058020477816,586,7,5,TRUE,5
6,649.9745679012345,245.43777777777777,4050,7,4,TRUE,4
1,398.42757242757244,514.2277722277722,2002,8,1,TRUE,1
2,531.259121370067,447.1839166046165,2686,8,2,TRUE,2
3,623.2082324455206,384.6107748184019,3304,8,3,FALSE,4
4,527.8449258836944,383.7468643101482,1754,8,6,TRUE,6
5,266.6247723132969,295.0601092896175,549,8,5,TRUE,5
6,644.2333417148604,233.64671863213476,3977,8,4,TRUE,4
1,398.8727624576681,512.6637639090469,2067,9,1,TRUE,1
2,529.1020482809071,445.45940014630577,2734,9,2,TRUE,2
3,626.0211121022896,388.4154029140648,3363,9,3,FALSE,4
4,527.9325221238938,380.3733407079646,1808,9,6,TRUE,6
5,278.14524207011686,300.74123539232056,599,9,5,TRUE,5
6,636.7529062577294,224.57556270096464,4043,9,4,TRUE,4
1,399.3349305222808,510.9300431241016,2087,10,1,TRUE,1
2,527.4031490296595,443.7718784328085,2731,10,2,TRUE,2
3,628.6900654372397,390.337001784652,3362,10,3,FALSE,4
4,527.1597796143251,377.06556473829204,1815,10,6,TRUE,6
5,280.65128205128207,314.0803418803419,585,10,5,TRUE,5
6,626.6679076693969,217.96475552246216,4029,10,4,TRUE,4
1,398.49068322981367,508.3124701385571,2093,11,1,TRUE,1
2,525.742064939803,441.8431229478293,2741,11,2,TRUE,2
3,631.5959086866291,394.6984879928847,3373,11,3,FALSE,4
4,525.906989543203,373.93725921849204,1817,11,6,TRUE,6
5,272.0601374570447,324.192439862543,582,11,5,TRUE,5
6,614.4696857213561,214.45756000989854,4041,11,4,TRUE,4
1,398.0264169068204,505.4841498559078,2082,12,1,TRUE,1
2,523.8136714443219,439.8970966556413,2721,12,2,TRUE,2
3,634.43351222421,398.75014907573046,3354,12,3,FALSE,4
4,524.2827167310878,371.5847598012148,1811,12,6,TRUE,6
5,258.4816753926702,322.7731239092496,573,12,5,TRUE,5
6,601.6604244694132,214.09737827715355,4005,12,4,TRUE,4
1,398.09769008662175,503.7733397497594,2078,13,1,TRUE,1
2,522.4293577981651,438.0770642201835,2725,13,2,TRUE,2
3,637.4079336885732,402.57844878626406,3378,13,3,FALSE,4
4,521.8809917355372,369.57190082644627,1815,13,6,TRUE,6
5,251.93015332197615,310.7955706984668,587,13,5,TRUE,5
6,588.2700074794316,217.9975068561456,4011,13,4,TRUE,4
1,398.60193236714974,502.0821256038647,2070,14,1,TRUE,1
2,520.8826325411335,435.73345521023765,2735,14,2,TRUE,2
3,639.8461538461538,406.0896449704142,3380,14,3,FALSE,4
4,519.1357818586533,367.9933222036728,1797,14,6,TRUE,6
5,257.725834797891,298.4956063268893,569,14,5,TRUE,5
6,577.7796101949026,224.731884057971,4002,14,4,TRUE,4
1,398.7486682808717,500.6266343825666,2065,15,1,TRUE,1
2,519.4842721287491,433.5530358449159,2734,15,2,TRUE,2
3,642.3505338078292,411.79389086595495,3372,15,3,FALSE,4
4,516.0372429127293,367.2929405225125,1799,15,6,TRUE,6
5,270.29579831932773,296.781512605042,595,15,5,TRUE,5
6,570.9222720478326,234.35899352267066,4014,15,4,TRUE,4
1,398.2106031128405,498.7592412451362,2056,16,1,TRUE,1
2,518.2549450549451,431.43699633699634,2730,16,2,TRUE,2
3,644.8967971530249,416.7316132858837,3372,16,3,FALSE,4
4,512.9911455451024,367.79524073049254,1807,16,6,TRUE,6
5,279.8705882352941,304.7075630252101,595,16,5,TRUE,5
6,568.633939695988,246.26414153999502,4013,16,4,TRUE,4
1,398.80048309178744,497.2623188405797,2070,17,1,TRUE,1
2,517.0018341892884,429.3565663976522,2726,17,2,TRUE,2
3,646.9481941977501,421.0355239786856,3378,17,3,FALSE,4
4,510.16528468767274,368.98175787728024,1809,17,6,TRUE,6
5,278.4802744425386,318.483704974271,583,17,5,TRUE,5
6,571.9580957103893,257.8165137614679,4033,17,4,TRUE,4
1,398.3417109714838,495.53697438376025,2069,18,1,TRUE,1
2,649.7217622708456,425.6277350680071,3382,18,3,FALSE,4
3,515.5340160936357,427.210314557425,2734,18,2,TRUE,2
4,507.92984409799556,371.0311804008909,1796,18,6,TRUE,6
5,267.3808695652174,325.69565217391306,575,18,5,TRUE,5
6,579.0181141439206,267.22332506203475,4030,18,4,TRUE,4
1,397.64988009592327,493.52517985611513,2085,19,1,TRUE,1
2,651.6058091286307,430.128927089508,3374,19,3,FALSE,4
3,511.11580560420316,404.7197898423818,4568,19,2,TRUE,2
4,254.434628975265,321.24381625441697,566,19,5,TRUE,5
5,590.5905725567621,273.42226061204343,4052,19,4,TRUE,4
1,396.6132570338579,491.6323319027182,2097,20,1,TRUE,1
2,653.3629103815439,433.7397219757468,3381,20,3,FALSE,4
3,509.82529989094877,404.27393675027264,4585,20,2,TRUE,2
