id,x,y,size,frame,track,ignore,track_fixed
4,449.44193548387096,292.458064516129,1240,1,1,TRUE,1
5,562.2913505311077,173.70182094081943,1318,1,2,FALSE,5
4,450.2988929889299,291.18142681426815,1626,2,1,TRUE,1
5,553.5137931034483,181.564039408867,2030,2,2,FALSE,5
4,450.0800756620429,289.4047919293821,1586,3,1,TRUE,1
5,543.7653543307086,189.8761154855643,1905,3,2,FALSE,5
4,450.85295989815404,288.13112667091025,1571,4,1,TRUE,1
5,537.2061295106278,200.33020266930302,2023,4,2,FALSE,5
4,450.92126984126986,286.86603174603175,1575,5,1,TRUE,1
5,532.8368139873725,211.33074307916465,2059,5,2,FALSE,5
4,450.8841970569418,284.64491362763914,1563,6,1,TRUE,1
5,531.5512094698919,223.3757076685538,1943,6,2,FALSE,5
4,452.0025348542459,284.8358681875792,1578,7,1,TRUE,1
5,533.8891726251277,236.37180796731357,1958,7,2,FALSE,5
4,453.9736015084852,284.3224387177876,1591,8,1,TRUE,1
5,539.2558479532164,247.9546783625731,2052,8,2,FALSE,5
4,456.4069841269841,283.92507936507934,1575,9,1,TRUE,1
5,546.4100755667506,258.623677581864,1985,9,2,FALSE,5
4,460.18286445012785,283.1867007672634,1564,10,1,TRUE,1
5,555.2905811623247,265.36673346693385,1996,10,2,FALSE,5
4,463.64112639161755,282.34839554682384,1527,11,1,TRUE,1
5,566.7036095577021,270.2709710218607,1967,11,2,FALSE,5
4,466.971974522293,282.7770700636943,1570,12,1,TRUE,1
5,578.0432595573441,271.6383299798793,1988,12,2,FALSE,5
4,470.2185686653772,284.17343649258544,1551,13,1,TRUE,1
5,589.9935515873016,269.5967261904762,2016,13,2,FALSE,5
4,472.7020872865275,283.887413029728,1581,14,1,TRUE,1
5,600.4952806756086,263.9388971684054,2013,14,2,FALSE,5
4,476.2036914963744,283.748846407383,1517,15,1,TRUE,1
5,610.0482615464452,256.2169174883238,1927,15,2,FALSE,5
4,479.0155339805825,283.3482200647249,1545,16,1,TRUE,1
