,Unnamed: 0,index,Unnamed: 0.1,Unnamed: 0.1.1,id,x,y,size,frame,track,ignore,track_fixed,x_shift,y_shift,x_rotate,y_rotate
0,0,1188,1188,1188,3,433.8286919831224,455.0481012658228,1185,1189,1,False,1,0.0,0.0,0.0,0.0
1,1,1189,1189,1189,3,433.9157631359466,455.25104253544623,1199,1190,1,False,1,0.08707115282419409,0.20294126962340897,-0.21074475511710275,0.06597872961135075
2,2,1190,1190,1190,3,433.4682752457552,455.46559428060766,1119,1191,1,False,1,-0.3604167373671885,0.4174930147848386,-0.37867047360847395,-0.4010103669304279
3,3,1191,1191,1191,3,434.1080357142857,455.3125,1120,1192,1,False,1,0.27934373116329425,0.26439873417717763,-0.29143930814914376,0.2510034669885519
4,4,1192,1192,1192,3,433.4851063829787,455.4953191489362,1175,1193,1,False,1,-0.3435856001436832,0.4472178831133533,-0.40995306845145274,-0.38728978978243456
5,5,1193,1193,1193,3,433.666361136572,455.1521539871677,1091,1194,1,False,1,-0.16233084655038965,0.10405272134488541,-0.08700266867801087,-0.17207210175954377
6,6,1194,1194,1194,3,433.7749782797568,455.0121633362294,1151,1195,1,False,1,-0.05371370336558812,-0.03593792959344455,0.04121471424999729,-0.049779956227389746
7,7,1195,1195,1195,3,433.7653985507246,455.12409420289856,1104,1196,1,False,1,-0.06329343239775653,0.07599293707573906,-0.06916136233305434,-0.07069434935214118
8,8,1196,1196,1196,3,433.4158674803836,455.3278116826504,1147,1197,1,False,1,-0.412824502738772,0.2797104168275837,-0.2362720598289081,-0.4391326691190031
9,9,1197,1197,1197,3,434.2044673539519,455.1099656357388,1164,1198,1,False,1,0.3757753708295013,0.06186436991595201,-0.09976317788878769,0.36753453977099493
10,10,1198,1198,1198,3,433.8915009041592,455.0804701627487,1106,1199,1,False,1,0.062808921036833,0.03236889692590239,-0.038589252507699436,0.05919100979800757
11,11,1199,1199,1199,3,433.91615720524015,454.985152838428,1145,1200,1,False,1,0.08746522211777119,-0.0629484273948151,0.05372601735435389,0.09341404953662497
