,Unnamed: 0,index,Unnamed: 0.1,id,x,y,size,frame,track,x_shift,y_shift,x_rotate,y_rotate
0,0,12,12,1,551.8072625698323,604.3128491620112,358,14,1,0.0,0.0,0.0,0.0
1,1,13,13,1,561.3294797687861,595.0606936416185,346,15,1,9.52221719895374,-9.252155520392648,6.742875793516958,-11.437159970499042
2,2,14,14,1,571.9162011173185,587.0837988826815,358,16,1,20.108938547486105,-17.229050279329613,14.849071663713548,-21.925205900062597
3,3,15,15,1,583.6857142857143,579.2228571428572,350,17,1,31.878451715881965,-25.08999201915401,24.126727067907183,-32.613561969121754
4,4,16,16,1,595.6422535211268,572.4845070422535,355,18,1,43.83499095129446,-31.82834211975762,33.88104264122784,-42.268484043501076
5,5,17,17,1,608.987012987013,562.8181818181819,385,19,1,57.179750417180685,-41.49466734382929,44.201635695315424,-55.11394267882443
6,6,18,18,1,620.8323353293413,548.9191616766467,334,20,1,69.02507275950893,-55.39368748536447,51.95889476824825,-71.64631558666385
7,7,19,19,1,631.1151515151515,540.8606060606061,330,21,1,79.30788894531918,-63.45224310140509,59.75040861677218,-82.13292320191488
8,8,20,20,1,644.3402985074626,536.5014925373134,335,22,1,92.5330359376303,-67.81135662469774,71.35626359646757,-89.82776003367866
9,9,21,21,1,659.5700636942676,530.6433121019109,314,23,1,107.76280112443521,-73.66953706010031,84.50004600843937,-99.49755887159091
10,10,22,22,1,673.9157608695652,520.8885869565217,368,24,1,122.1084982997329,-83.42426220548941,95.762760699783,-112.69244226966697
11,11,23,23,1,686.986301369863,511.0794520547945,365,25,1,135.17903880003064,-93.23339710721666,105.78116759026719,-125.60327802367243
