,index,Unnamed: 0,id,x,y,size,frame,track
0,0,0,1,864.5,2.3,20,5,1
1,1,1,1,857.8260869565217,5.304347826086956,115,6,1
2,2,2,1,848.0,14.5,2,7,1
3,3,3,1,839.8333333333334,19.72222222222222,18,8,1
4,4,4,1,829.7142857142857,26.0,7,9,1
5,5,5,1,820.8,32.2,15,10,1
6,6,6,1,812.3478260869565,38.82608695652174,23,11,1
7,7,7,1,804.4615384615385,46.07692307692308,39,12,1
8,8,8,1,796.925,53.35,40,13,1
9,9,9,1,788.65625,60.96875,32,14,1
10,10,10,1,780.0952380952381,68.83333333333333,42,15,1
11,11,11,1,772.6585365853658,76.95121951219512,41,16,1
